birthCity,birthCountryCode,birthDate,birthStateProvinceCode,draftOverall,draftRound,draftYear,fullName,height,isInHallOfFameYn,lastName,nationalityCode,playerId,catches,weight,seasonId,assists,gamesPlayed,gamesStarted,goals,goalsAgainst,goalsAgainstAverage,losses,otLosses,penaltyMinutes,points,savePct,saves,shotsAgainst,shutouts,teamAbbrevs,ties,timeOnIce,wins
Fussen,DEU,1986-01-29,NA,94,3,2004,Thomas Greiss,74,N,Greiss,DEU,8471306,L,219,20142015,0,20,18,0,50,2.58706,6,3,0,0,0.90842,496,546,0,PIT,NA,69577,9
Amherst,USA,1989-12-07,NY,30,1,2008,Tom McCollum,74,N,McCollum,USA,8474591,L,220,20142015,0,2,0,0,1,0.91047,0,0,0,0,0.96,24,25,0,DET,NA,3954,1
Brookfield,USA,1989-08-27,WI,NA,NA,NA,Troy Grosenick,73,N,Grosenick,USA,8477234,L,181,20142015,0,2,2,0,3,1.52069,1,0,0,0,0.94827,55,58,1,SJS,NA,7102,1
Savonlinna,FIN,1987-03-10,NA,21,1,2005,Tuukka Rask,75,N,Rask,FIN,8471695,L,176,20142015,0,70,67,0,156,2.3037,21,13,8,0,0.92242,1855,2011,3,BOS,NA,243781,34
Regina,CAN,1992-02-11,SK,121,5,2010,Tyler Bunz,73,N,Bunz,CAN,8475781,L,205,20142015,0,1,0,0,3,9,0,0,0,0,0.75,9,12,0,EDM,NA,1200,0
Kalix,SWE,1982-08-08,NA,NA,NA,NA,Viktor Fasth,72,N,Fasth,SWE,8476839,L,181,20142015,0,26,24,0,76,3.41193,15,3,0,0,0.88839,605,681,0,EDM,NA,80189,6
Chicago,USA,1985-02-13,IL,6,1,2004,Al Montoya,74,N,Montoya,USA,8471219,L,200,20152016,0,25,22,0,49,2.17579,7,3,2,0,0.9194,559,608,0,FLA,NA,81074,12
Saint Paul,USA,1987-07-28,MN,112,4,2005,Alex Stalock,71,N,Stalock,USA,8471774,L,170,20152016,1,13,9,0,33,2.9371,5,2,0,1,0.88421,252,285,0,SJS,NA,40448,3
Gavle,SWE,1988-05-03,NA,207,7,2008,Anders Lindback,78,N,Lindback,SWE,8474765,L,215,20152016,1,19,13,0,47,3.11212,7,1,0,1,0.8939,396,443,0,ARI,NA,54368,5
Lulea,SWE,1990-03-19,NA,62,3,2009,Anders Nilsson,78,N,Nilsson,SWE,8475195,L,232,20152016,1,29,24,0,78,3.11878,13,2,4,1,0.90114,711,789,0,"EDM,STL",NA,90035,10
Tyumen,RUS,1994-07-25,NA,19,1,2012,Andrei Vasilevskiy,76,N,Vasilevskiy,RUS,8476883,L,228,20152016,0,32,27,0,78,2.76424,14,0,0,0,0.91456,835,913,1,TBL,NA,101583,14
Surrey,CAN,1988-02-11,BC,NA,NA,NA,Andrew Hammond,74,N,Hammond,CAN,8477202,L,215,20152016,0,24,21,0,61,2.64772,11,4,2,0,0.91432,651,712,1,OTT,NA,82939,7
Härnösand,SWE,1992-11-27,NA,188,7,2011,Anton Forsberg,75,N,Forsberg,SWE,8476341,L,198,20152016,0,4,3,0,9,3.03115,3,0,0,0,0.90721,88,97,0,CBJ,NA,10689,1
Ust-Kamenogorsk,KAZ,1986-05-07,NA,206,7,2004,Anton Khudobin,71,N,Khudobin,RUS,8471418,L,210,20152016,0,9,7,0,16,2.6941,3,0,0,0,0.90857,159,175,1,ANA,NA,21380,3
Vantaa,FIN,1983-08-29,NA,NA,NA,NA,Antti Niemi,74,N,Niemi,FIN,8474550,L,209,20152016,2,53,46,0,131,2.7184,16,7,2,2,0.90238,1211,1342,3,DAL,NA,173484,26
Rauma,FIN,1989-05-12,NA,NA,NA,NA,Antti Raanta,72,N,Raanta,FIN,8477293,L,195,20152016,0,28,18,0,47,2.26654,7,2,0,0,0.91725,521,568,1,NYR,NA,74651,11
Denver,USA,1986-11-21,CO,85,3,2005,Ben Bishop,79,N,Bishop,USA,8471750,L,210,20152016,1,72,71,0,141,2.0302,23,4,4,1,0.92839,1828,1969,8,TBL,NA,250024,43
Spruce Grove,CAN,1986-09-11,AB,NA,NA,NA,Ben Scrivens,74,N,Scrivens,CAN,8475681,L,181,20152016,0,15,14,0,42,3.06581,8,0,0,0,0.90604,405,447,0,MTL,NA,49318,5
Lloydminster,CAN,1989-09-16,SK,93,4,2008,Braden Holtby,73,N,Holtby,CAN,8474651,L,215,20152016,2,78,78,0,162,2.12565,15,7,6,2,0.92517,2003,2165,5,WSH,NA,274363,54
Newmarket,CAN,1985-04-09,ON,291,9,2003,Brian Elliott,74,N,Elliott,CAN,8470880,L,221,20152016,0,60,56,0,121,2.1863,17,6,4,0,0.92706,1538,1659,5,STL,NA,199240,32
Moncton,CAN,1992-04-15,NB,49,2,2010,Calvin Pickard,73,N,Pickard,CAN,8475717,L,206,20152016,1,20,13,0,42,2.55725,6,1,0,1,0.92207,497,539,1,COL,NA,59126,7
Caledonia,CAN,1987-07-05,ON,NA,NA,NA,Cam Talbot,76,N,Talbot,CAN,8475660,L,200,20152016,1,56,53,0,137,2.55056,27,5,0,1,0.91686,1511,1648,3,EDM,NA,193369,21
Saskatoon,CAN,1984-02-29,SK,25,1,2002,Cam Ward,73,N,Ward,CAN,8470320,L,194,20152016,0,52,51,0,122,2.40942,17,10,0,0,0.90915,1221,1343,1,CAR,NA,182284,23
Anahim Lake,CAN,1987-08-16,BC,5,1,2005,Carey Price,75,N,Price,CAN,8471679,L,217,20152016,0,12,12,0,24,2.06205,2,0,0,0,0.93424,341,365,2,MTL,NA,41900,10
Thunder Bay,CAN,1985-12-19,ON,NA,NA,NA,Carter Hutton,72,N,Hutton,CAN,8475622,L,211,20152016,1,20,15,0,39,2.34261,5,4,0,1,0.91648,428,467,2,NSH,NA,59933,7
Saskatoon,CAN,1986-06-10,SK,125,5,2006,Chad Johnson,75,N,Johnson,CAN,8473434,L,197,20152016,2,45,40,0,102,2.36194,16,4,0,2,0.91968,1168,1270,1,BUF,NA,155465,22
Lakeville,USA,1993-12-18,MN,NA,NA,NA,Charlie Lindgren,74,N,Lindgren,USA,8479292,R,190,20152016,0,1,1,0,2,2,0,0,0,0,0.92857,26,28,0,MTL,NA,3600,1
Winnipeg,CAN,1994-05-18,MB,76,3,2012,Chris Driedger,76,N,Driedger,CAN,8476904,L,210,20152016,0,1,0,0,0,0,0,0,0,0,1,11,11,0,OTT,NA,1909,0
Karkkila,FIN,1992-12-27,NA,49,2,2011,Christopher Gibson,74,N,Gibson,FIN,8476444,L,217,20152016,0,4,2,0,11,3.40147,1,1,0,0,0.88172,82,93,0,NYI,NA,11642,1
Commerce,USA,1993-05-19,MI,130,5,2012,Connor Hellebuyck,76,N,Hellebuyck,USA,8476945,L,207,20152016,0,26,26,0,56,2.34396,11,1,0,0,0.918,627,683,2,WPG,NA,86008,13
Montréal,CAN,1984-12-31,QC,52,2,2003,Corey Crawford,74,N,Crawford,CAN,8470645,L,216,20152016,1,65,65,0,150,2.38698,22,5,4,1,0.92199,1773,1923,7,CHI,NA,226227,38
Marblehead,USA,1986-03-18,MA,26,1,2004,Cory Schneider,75,N,Schneider,USA,8471239,L,214,20152016,0,58,58,0,122,2.14509,25,6,0,0,0.9236,1475,1597,4,NJD,NA,204746,27
Park Ridge,USA,1981-05-21,IL,73,3,2001,Craig Anderson,74,N,Anderson,USA,8467950,L,187,20152016,2,60,60,0,161,2.77815,23,5,0,2,0.91592,1754,1915,4,OTT,NA,208628,31
London,CAN,1983-05-23,ON,176,6,2002,Curtis McElhinney,73,N,McElhinney,CAN,8470147,L,210,20152016,1,18,12,0,46,3.30367,7,3,0,1,0.88968,371,417,0,CBJ,NA,50126,2
Saskatoon,CAN,1990-05-05,SK,161,6,2009,Darcy Kuemper,77,N,Kuemper,CAN,8475311,L,215,20152016,0,21,16,0,43,2.42618,7,5,2,0,0.91518,464,507,2,MIN,NA,63804,6
Regina,CAN,1986-05-04,SK,14,1,2004,Devan Dubnyk,78,N,Dubnyk,CAN,8471227,L,224,20152016,0,73,72,0,170,2.41691,30,6,8,0,0.91465,1822,1992,5,MIN,NA,253215,34
Watson,CAN,1989-09-16,SK,122,5,2008,Dustin Tokarski,72,N,Tokarski,CAN,8474682,L,198,20152016,0,6,4,0,12,3.18349,3,0,0,0,0.87755,86,98,0,MTL,NA,13570,1
Norrtalje,SWE,1988-01-05,NA,NA,NA,NA,Eddie Lack,76,N,Lack,SWE,8475663,L,187,20152016,2,34,31,0,90,2.81235,14,6,0,2,0.90109,820,910,2,CAR,NA,115206,12
Herning,DNK,1989-10-02,NA,87,3,2012,Frederik Andersen,76,N,Andersen,DNK,8475883,L,229,20152016,1,48,42,0,95,2.19627,11,7,2,1,0.922,1123,1218,4,ANA,NA,155718,25
Elmhurst,USA,1993-06-28,IL,190,7,2011,Garret Sparks,75,N,Sparks,USA,8476343,L,220,20152016,0,17,17,0,49,3.01553,9,1,0,0,0.89254,407,456,1,TOR,NA,58497,6
Are,SWE,1982-03-02,NA,205,7,2000,Henrik Lundqvist,73,Y,Lundqvist,SWE,8468685,L,182,20152016,4,70,69,0,171,2.57971,24,7,4,4,0.91686,1886,2057,4,NYR,NA,238631,36
Repentigny,CAN,1991-07-13,QC,95,4,2009,J-F Berube,73,N,Berube,CAN,8475234,L,177,20152016,0,8,6,0,18,2.67669,2,1,0,0,0.91509,194,212,0,NYI,NA,24209,3
Gavle,SWE,1990-01-31,NA,31,2,2008,Jacob Markstrom,78,N,Markstrom,SWE,8474593,L,207,20152016,2,33,30,0,84,2.7281,14,4,4,2,0.91497,904,988,0,VAN,NA,110846,13
Fredericton,CAN,1990-08-07,NB,34,2,2008,Jake Allen,74,N,Allen,CAN,8474596,L,197,20152016,0,52,46,0,108,2.35425,16,3,0,0,0.91867,1220,1328,6,STL,NA,165148,27
Morweena,CAN,1988-03-15,MB,99,4,2006,James Reimer,74,N,Reimer,CAN,8473503,L,200,20152016,0,1,0,0,1,2.06303,0,NA,0,0,0.85714,6,7,0,SJS,NA,1745,0
Morweena,CAN,1988-03-15,MB,99,4,2006,James Reimer,74,N,Reimer,CAN,8473503,L,200,20152016,0,40,37,0,88,2.30522,14,7,0,0,0.92198,1040,1128,3,"TOR,SJS",NA,137427,17
Bratislava,SVK,1985-05-13,NA,271,9,2003,Jaroslav Halak,71,N,Halak,SVK,8470860,L,189,20152016,1,36,36,0,80,2.29535,13,4,0,1,0.91869,904,984,3,NYI,NA,125471,18
Winnipeg,CAN,1992-05-18,MB,157,6,2011,Jason Kasdorf,76,N,Kasdorf,CAN,8476309,L,205,20152016,0,1,1,0,4,4,1,0,0,0,0.86666,26,30,0,BUF,NA,3600,0
Detroit,USA,1987-06-09,MI,74,3,2006,Jeff Zatkoff,74,N,Zatkoff,USA,8473553,L,186,20152016,0,16,13,0,40,2.82596,8,1,0,0,0.91543,433,473,0,PIT,NA,50956,5
Stockholm,SWE,1988-06-25,NA,46,2,2006,Jhonas Enroth,70,N,Enroth,SWE,8473523,L,175,20152016,0,16,13,0,31,2.17213,5,1,0,0,0.92211,367,398,2,LAK,NA,51378,7
Syracuse,USA,1984-03-26,NY,64,2,2003,Jimmy Howard,73,N,Howard,USA,8470657,L,218,20152016,1,39,35,0,99,2.8407,16,5,2,1,0.90508,944,1043,2,DET,NA,125462,14
Pittsburgh,USA,1993-07-14,PA,39,2,2011,John Gibson,74,N,Gibson,USA,8476434,L,214,20152016,1,42,40,0,85,2.11493,15,4,2,1,0.9192,967,1052,4,ANA,NA,144685,21
Danderyd,SWE,1984-10-24,NA,NA,NA,NA,Jonas Gustavsson,76,N,Gustavsson,SWE,8475361,L,201,20152016,0,24,20,0,57,2.71759,9,1,0,0,0.90836,565,622,1,BOS,NA,75508,11
Felben Wellhausen,CHE,1982-02-12,NA,NA,NA,NA,Jonas Hiller,74,N,Hiller,CHE,8473972,R,191,20152016,0,26,23,0,79,3.50885,11,1,0,0,0.8792,575,654,1,CGY,NA,81052,9
Laval,CAN,1988-08-07,QC,11,1,2006,Jonathan Bernier,72,N,Bernier,CAN,8473541,L,185,20152016,0,38,36,0,103,2.87874,21,3,2,0,0.90754,1011,1114,3,TOR,NA,128806,12
Milford,USA,1986-01-21,CT,72,3,2005,Jonathan Quick,73,N,Quick,USA,8471734,L,220,20152016,3,73,73,0,164,2.27248,27,5,10,3,0.91598,1788,1952,5,LAK,NA,259804,41
Turku,FIN,1991-04-16,NA,171,6,2009,Joni Ortio,73,N,Ortio,FIN,8475299,L,190,20152016,0,22,19,0,55,2.75746,9,5,2,0,0.90248,509,564,1,CGY,NA,71805,7
Pori,FIN,1994-04-28,NA,62,3,2012,Joonas Korpisalo,75,N,Korpisalo,FIN,8476914,L,199,20152016,0,31,30,0,78,2.5956,11,4,2,0,0.9195,891,969,0,CBJ,NA,108183,16
Richmond Hill,CAN,1993-07-11,ON,88,3,2011,Jordan Binnington,74,N,Binnington,CAN,8476412,L,172,20152016,0,1,0,0,1,4.69361,0,0,0,0,0.75,3,4,0,STL,NA,767,0
Forssa,FIN,1995-04-19,NA,99,4,2013,Juuse Saros,71,N,Saros,FIN,8477424,L,180,20152016,0,1,1,0,3,3.10255,1,0,0,0,0.86956,20,23,0,NSH,NA,3481,0
Helsinki,FIN,1983-11-16,NA,2,1,2002,Kari Lehtonen,76,N,Lehtonen,FIN,8470140,L,209,20152016,3,54,49,0,131,2.77349,13,2,2,3,0.90493,1247,1378,3,DAL,NA,170038,31
Asikkala,FIN,1986-07-01,NA,191,6,2004,Karri Ramo,74,N,Ramo,FIN,8471403,L,206,20152016,1,37,37,0,94,2.62982,18,1,0,1,0.90909,940,1034,1,CGY,NA,128678,17
Farmingville,USA,1989-07-04,NY,NA,NA,NA,Keith Kinkaid,74,N,Kinkaid,USA,8476234,L,195,20152016,0,23,20,0,58,2.80547,9,1,2,0,0.90413,547,605,2,NJD,NA,74426,9
Aizkraukle,LVA,1992-07-31,NA,124,5,2013,Kristers Gudlevskis,75,N,Gudlevskis,LVA,8477356,L,214,20152016,0,1,1,0,1,1.00083,0,1,0,0,0.96875,31,32,0,TBL,NA,3597,0
Port Alberni,CAN,1993-03-23,BC,164,6,2011,Laurent Brossoit,75,N,Brossoit,CAN,8476316,L,203,20152016,0,5,5,0,18,3.6058,4,1,0,0,0.87323,124,142,0,EDM,NA,17971,0
Lugnvik,SWE,1993-07-31,NA,163,6,2012,Linus Ullmark,76,N,Ullmark,SWE,8476999,L,215,20152016,0,20,20,0,49,2.60023,10,2,0,0,0.91327,516,565,0,BUF,NA,67840,8
St-Hyacinthe,CAN,1992-03-06,QC,138,5,2010,Louis Domingue,75,N,Domingue,CAN,8475839,R,207,20152016,1,39,36,0,101,2.74697,18,5,0,1,0.91155,1041,1142,2,ARI,NA,132364,15
Uppsala,SWE,1991-04-04,NA,38,2,2011,Magnus Hellberg,78,N,Hellberg,SWE,8476433,L,206,20152016,0,1,0,0,2,6,0,0,0,0,0.66666,4,6,0,NYR,NA,1200,0
Sorel,CAN,1984-11-28,QC,1,1,2003,Marc-Andre Fleury,74,N,Fleury,CAN,8470594,L,185,20152016,1,60,59,0,136,2.30386,18,6,2,1,0.91985,1561,1697,5,PIT,NA,212512,35
North Vancouver,CAN,1990-01-10,BC,NA,NA,NA,Martin Jones,77,N,Jones,CAN,8474889,L,203,20152016,0,89,89,0,196,2.23609,33,4,0,0,0.91894,2222,2418,9,SJS,NA,315550,51
Thunder Bay,CAN,1994-05-25,ON,83,3,2012,Matt Murray,77,N,Murray,CAN,8476899,L,220,20152016,0,34,34,0,69,2.05372,8,1,4,0,0.9258,861,930,2,PIT,NA,120951,24
Sault Ste. Marie,CAN,1992-02-14,ON,NA,NA,NA,Matthew O'Connor,78,N,O'Connor,CAN,8478559,L,205,20152016,0,1,1,0,3,3.10166,1,0,0,0,0.91176,31,34,0,OTT,NA,3482,0
Barrie,CAN,1990-03-02,ON,77,3,2008,Michael Hutchinson,75,N,Hutchinson,CAN,8474636,R,201,20152016,0,30,25,0,75,2.83741,15,3,0,0,0.90683,730,805,0,WPG,NA,95157,9
Petrolia,CAN,1981-05-19,ON,165,6,1999,Michael Leighton,75,N,Leighton,CAN,8468038,L,186,20152016,0,1,0,0,1,1.51962,0,0,0,0,0.94117,16,17,0,CHI,NA,2369,0
Ústí nad Labem,CZE,1988-03-23,NA,34,2,2006,Michal Neuvirth,73,N,Neuvirth,CZE,8473607,L,209,20152016,1,35,32,0,71,2.12581,9,4,2,1,0.92991,942,1013,4,PHI,NA,120236,20
Holliston,USA,1990-04-27,MA,NA,NA,NA,Mike Condon,74,N,Condon,USA,8477237,L,196,20152016,0,55,51,0,141,2.70916,25,6,0,0,0.90329,1317,1458,1,MTL,NA,187364,21
Kingston,CAN,1982-03-22,ON,161,5,2001,Mike Smith,77,N,Smith,CAN,8469608,L,220,20152016,1,32,32,0,77,2.63473,13,2,2,1,0.91639,844,921,3,ARI,NA,105210,15
Helsinki,FIN,1978-02-13,NA,NA,NA,NA,Niklas Backstrom,74,N,Backstrom,FIN,8473404,L,192,20152016,0,4,3,0,13,3.35171,2,0,0,0,0.88073,96,109,0,CGY,NA,13963,2
Nuremberg,DEU,1991-04-29,NA,NA,NA,NA,Niklas Treutle,74,N,Treutle,DEU,8478999,L,185,20152016,0,2,1,0,5,6.03621,1,0,2,0,0.75,15,20,0,ARI,NA,2982,0
Kladno,CZE,1987-08-31,NA,41,2,2005,Ondrej Pavelec,75,N,Pavelec,CZE,8471715,L,212,20152016,0,33,31,0,88,2.78038,13,4,0,0,0.90413,830,918,1,WPG,NA,113941,13
Kempele,FIN,1982-11-03,NA,258,8,2004,Pekka Rinne,77,N,Rinne,FIN,8471469,L,217,20152016,3,80,80,0,199,2.5077,28,10,6,3,0.90735,1949,2148,4,NSH,NA,285680,41
Banská Bystrica,SVK,1982-09-18,NA,63,2,2001,Peter Budaj,73,N,Budaj,SVK,8469514,L,196,20152016,0,1,1,0,4,3.85232,0,0,0,0,0.85714,24,28,0,LAK,NA,3738,1
Ostrava,CZE,1992-02-14,NA,141,5,2010,Petr Mrazek,74,N,Mrazek,CZE,8475852,L,188,20152016,2,57,52,0,119,2.27551,18,6,2,2,0.92176,1402,1521,5,DET,NA,188265,28
North Pole,USA,1992-01-18,AK,NA,NA,NA,Pheonix Copley,76,N,Copley,USA,8477831,L,205,20152016,0,1,0,0,1,2.45566,0,0,0,0,0.83333,5,6,0,STL,NA,1466,0
Rosenheim,DEU,1991-11-25,NA,112,4,2010,Philipp Grubauer,73,N,Grubauer,DEU,8475831,L,188,20152016,0,22,16,0,43,2.32216,9,1,2,0,0.91778,480,523,0,WSH,NA,66662,8
Bülach,CHE,1987-01-03,NA,106,4,2006,Reto Berra,76,N,Berra,CHE,8473499,L,218,20152016,1,14,12,0,29,2.41426,8,0,2,1,0.92245,345,374,2,COL,NA,43243,5
Salt Lake City,USA,1987-07-25,UT,120,4,2006,Richard Bachman,70,N,Bachman,USA,8473614,L,183,20152016,0,1,1,0,3,3.00668,0,0,0,0,0.90322,28,31,0,VAN,NA,3592,1
Montréal,CAN,1979-04-04,QC,4,1,1997,Roberto Luongo,75,Y,Luongo,CAN,8466141,L,215,20152016,2,68,66,0,156,2.31672,23,6,4,2,0.92307,1872,2028,4,FLA,NA,242411,37
Gothenburg,SWE,1991-07-24,NA,46,2,2009,Robin Lehner,76,N,Lehner,SWE,8475215,L,250,20152016,1,21,21,0,48,2.47404,9,5,8,1,0.92429,586,634,1,BUF,NA,69845,5
Plzen,CZE,1992-05-22,NA,NA,NA,NA,Roman Will,73,N,Will,CZE,8477914,L,195,20152016,0,1,0,0,1,3.24909,0,0,0,0,0.66666,2,3,0,COL,NA,1108,0
East Lansing,USA,1980-07-17,MI,138,5,1999,Ryan Miller,74,N,Miller,USA,8468011,L,170,20152016,1,51,51,0,137,2.70085,24,9,2,1,0.91615,1497,1634,1,VAN,NA,182609,17
Newport News,USA,1988-12-22,VA,153,6,2007,Scott Darling,77,N,Darling,USA,8474152,L,226,20152016,0,29,24,0,67,2.57689,8,4,0,0,0.91454,717,784,1,CHI,NA,93601,12
Brampton,CAN,1992-08-14,ON,84,3,2010,Scott Wedgewood,74,N,Wedgewood,CAN,8475809,L,201,20152016,0,4,4,0,5,1.2461,1,1,0,0,0.95689,111,116,1,NJD,NA,14445,2
Samara,RUS,1988-04-27,NA,23,1,2006,Semyon Varlamov,74,N,Varlamov,RUS,8473575,L,201,20152016,0,57,57,0,148,2.81064,25,3,6,0,0.91365,1566,1714,2,COL,NA,189565,27
Novokuznetsk,RUS,1988-09-20,NA,NA,NA,NA,Sergei Bobrovsky,74,N,Bobrovsky,RUS,8475683,L,180,20152016,2,37,37,0,97,2.75001,19,1,2,2,0.90753,952,1049,1,CBJ,NA,126981,15
Oakville,CAN,1988-05-29,ON,69,3,2006,Steve Mason,76,N,Mason,CAN,8473461,R,210,20152016,0,57,56,0,144,2.59729,22,10,2,0,0.91443,1539,1683,4,PHI,NA,199592,23
Fussen,DEU,1986-01-29,NA,94,3,2004,Thomas Greiss,74,N,Greiss,DEU,8471306,L,219,20152016,1,52,49,0,120,2.38363,17,4,2,1,0.92429,1465,1585,1,NYI,NA,181236,28
Savonlinna,FIN,1987-03-10,NA,21,1,2005,Tuukka Rask,75,N,Rask,FIN,8471695,L,176,20152016,1,64,62,0,157,2.56113,22,8,0,1,0.91531,1697,1854,4,BOS,NA,220683,31
Lafontaine,CAN,1981-06-21,QC,NA,NA,NA,Yann Danis,71,N,Danis,CAN,8471186,L,180,20152016,0,2,0,0,4,4.75247,1,0,0,0,0.77777,14,18,0,NJD,NA,3030,0
Airdrie,CAN,1989-05-04,AB,NA,NA,NA,Aaron Dell,72,N,Dell,CAN,8477180,L,213,20162017,0,20,17,0,37,1.999,6,1,0,0,0.93058,496,533,1,SJS,NA,66633,11
Chicago,USA,1985-02-13,IL,6,1,2004,Al Montoya,74,N,Montoya,USA,8471219,L,200,20162017,2,19,18,0,50,2.66694,6,4,2,2,0.91212,519,569,2,MTL,NA,67493,8
Parma,USA,1996-01-07,OH,37,2,2014,Alex Nedeljkovic,72,N,Nedeljkovic,USA,8477968,L,203,20162017,0,1,0,0,0,0,0,0,2,0,1,17,17,0,CAR,NA,1797,0
Saint Paul,USA,1987-07-28,MN,112,4,2005,Alex Stalock,71,N,Stalock,USA,8471774,L,170,20162017,0,2,2,0,3,1.51366,1,0,0,0,0.94444,51,54,0,MIN,NA,7135,1
Lulea,SWE,1990-03-19,NA,62,3,2009,Anders Nilsson,78,N,Nilsson,SWE,8475195,L,232,20162017,0,26,23,0,66,2.66801,10,4,0,0,0.92298,791,857,1,BUF,NA,89055,10
Tyumen,RUS,1994-07-25,NA,19,1,2012,Andrei Vasilevskiy,76,N,Vasilevskiy,RUS,8476883,L,228,20162017,2,50,47,0,123,2.6066,17,7,2,2,0.91689,1357,1480,2,TBL,NA,169876,23
Surrey,CAN,1988-02-11,BC,NA,NA,NA,Andrew Hammond,74,N,Hammond,CAN,8477202,L,215,20162017,0,6,4,0,14,4.0846,2,0,0,0,0.8372,72,86,0,OTT,NA,12339,0
Edison,USA,1994-01-20,NJ,45,2,2012,Anthony Stolarz,78,N,Stolarz,USA,8476932,L,243,20162017,0,7,4,0,13,2.074,1,1,0,0,0.92817,168,181,1,PHI,NA,22565,2
Victoriaville,CAN,1994-05-01,QC,172,6,2013,Antoine Bibeau,75,N,Bibeau,CAN,8477312,L,205,20162017,0,2,2,0,4,1.98922,1,0,0,0,0.92727,51,55,0,TOR,NA,7239,1
Härnösand,SWE,1992-11-27,NA,188,7,2011,Anton Forsberg,75,N,Forsberg,SWE,8476341,L,198,20162017,0,1,1,0,4,4.09672,1,0,0,0,0.85185,23,27,0,CBJ,NA,3515,0
Ust-Kamenogorsk,KAZ,1986-05-07,NA,206,7,2004,Anton Khudobin,71,N,Khudobin,RUS,8471418,L,210,20162017,1,16,14,0,39,2.64471,6,1,2,1,0.9037,366,405,0,BOS,NA,53087,7
Vantaa,FIN,1983-08-29,NA,NA,NA,NA,Antti Niemi,74,N,Niemi,FIN,8474550,L,209,20162017,0,37,30,0,95,3.29765,12,4,0,0,0.89204,785,880,0,DAL,NA,103710,12
Rauma,FIN,1989-05-12,NA,NA,NA,NA,Antti Raanta,72,N,Raanta,FIN,8477293,L,195,20162017,1,30,26,0,61,2.26298,8,2,0,1,0.92199,721,782,4,NYR,NA,97040,16
Denver,USA,1986-11-21,CO,85,3,2005,Ben Bishop,79,N,Bishop,USA,8471750,L,210,20162017,0,39,37,0,94,2.53754,15,5,10,0,0.90961,946,1040,1,"TBL,LAK",NA,133357,18
Lloydminster,CAN,1989-09-16,SK,93,4,2008,Braden Holtby,73,N,Holtby,CAN,8474651,L,215,20162017,0,76,76,0,160,2.14112,19,6,2,0,0.9221,1894,2054,9,WSH,NA,269017,49
Newmarket,CAN,1985-04-09,ON,291,9,2003,Brian Elliott,74,N,Elliott,CAN,8470880,L,221,20162017,0,53,49,0,133,2.63388,21,3,4,0,0.90751,1305,1438,2,CGY,NA,181785,26
Moncton,CAN,1992-04-15,NB,49,2,2010,Calvin Pickard,73,N,Pickard,CAN,8475717,L,206,20162017,2,50,48,0,140,2.97844,31,2,2,2,0.90417,1321,1461,2,COL,NA,169216,15
Caledonia,CAN,1987-07-05,ON,NA,NA,NA,Cam Talbot,76,N,Talbot,CAN,8475660,L,200,20162017,1,86,86,0,204,2.40311,28,8,4,1,0.92012,2350,2554,9,EDM,NA,305603,49
Saskatoon,CAN,1984-02-29,SK,25,1,2002,Cam Ward,73,N,Ward,CAN,8470320,L,194,20162017,1,61,61,0,162,2.68662,22,12,6,1,0.90531,1549,1711,2,CAR,NA,217075,26
Anahim Lake,CAN,1987-08-16,BC,5,1,2005,Carey Price,75,N,Price,CAN,8471679,L,217,20162017,1,68,68,0,150,2.19748,24,5,4,1,0.92397,1823,1973,3,MTL,NA,245736,39
Thunder Bay,CAN,1985-12-19,ON,NA,NA,NA,Carter Hutton,72,N,Hutton,CAN,8475622,L,211,20162017,1,30,21,0,58,2.38511,8,2,4,1,0.91251,605,663,4,STL,NA,87543,13
Saskatoon,CAN,1986-06-10,SK,125,5,2006,Chad Johnson,75,N,Johnson,CAN,8473434,L,197,20162017,0,37,36,0,88,2.55685,16,1,0,0,0.91111,902,990,3,CGY,NA,123902,18
Lakeville,USA,1993-12-18,MN,NA,NA,NA,Charlie Lindgren,74,N,Lindgren,USA,8479292,R,190,20162017,0,2,2,0,3,1.47904,0,0,0,0,0.94915,56,59,0,MTL,NA,7302,2
Winnipeg,CAN,1994-05-18,MB,76,3,2012,Chris Driedger,76,N,Driedger,CAN,8476904,L,210,20162017,0,1,0,0,4,6,1,0,0,0,0.73333,11,15,0,OTT,NA,2400,0
Commerce,USA,1993-05-19,MI,130,5,2012,Connor Hellebuyck,76,N,Hellebuyck,USA,8476945,L,207,20162017,0,56,53,0,146,2.88773,19,4,0,0,0.90712,1426,1572,4,WPG,NA,182011,26
Montréal,CAN,1984-12-31,QC,52,2,2003,Corey Crawford,74,N,Crawford,CAN,8470645,L,216,20162017,1,59,59,0,150,2.57095,22,4,2,1,0.9173,1664,1814,2,CHI,NA,210039,32
Marblehead,USA,1986-03-18,MA,26,1,2004,Cory Schneider,75,N,Schneider,USA,8471239,L,214,20162017,0,60,59,0,163,2.81614,27,11,0,0,0.90847,1618,1781,2,NJD,NA,208370,20
Park Ridge,USA,1981-05-21,IL,73,3,2001,Craig Anderson,74,N,Anderson,USA,8467950,L,187,20162017,2,59,59,0,138,2.30035,19,4,0,2,0.92487,1699,1837,6,OTT,NA,215967,36
London,CAN,1983-05-23,ON,176,6,2002,Curtis McElhinney,73,N,McElhinney,CAN,8470147,L,210,20162017,0,21,15,0,51,2.69686,8,2,0,0,0.9172,565,616,1,"CBJ,TOR",NA,68079,8
